epoch,train_loss,train_acc,val_loss,val_acc,lr
0,2.6217088039016723,0.12502,1.61246999168396,0.1938,0.1
1,1.5384076250457763,0.22318,1.488730863761902,0.2627,0.1
2,1.4292116093444824,0.30024,1.4266551933288574,0.3384,0.1
3,1.3416282511520385,0.34374,1.3270626029968262,0.3667,0.1
4,1.2654384397506715,0.3869,1.2290871574401856,0.4169,0.1
5,1.1882145544433593,0.42438,1.238023695373535,0.4267,0.1
6,1.1152619553756713,0.46242,1.0869718910217285,0.4862,0.1
7,1.0455322654724122,0.50122,0.9869674148559571,0.5282,0.1
8,0.9749267341804504,0.53796,0.9435644958496093,0.5669,0.1
9,0.8447458345031739,0.6041,0.7820587606430054,0.6396,0.020000000000000004
10,0.7968899191093445,0.62572,0.7973005004882813,0.6349,0.020000000000000004
11,0.7670935318374634,0.64448,0.7348802431106567,0.6594,0.020000000000000004
12,0.7396207595443726,0.65604,0.7030507878303528,0.6737,0.020000000000000004
13,0.7056944052886963,0.67136,0.6738594699859619,0.693,0.020000000000000004
14,0.6794838775634766,0.68486,0.670733385848999,0.7005,0.020000000000000004
15,0.6571047478103638,0.69762,0.6218367238998413,0.7166,0.020000000000000004
16,0.6302252877235412,0.70942,0.6287473730087281,0.7182,0.020000000000000004
17,0.5986586218643188,0.7263,0.5653954349517822,0.7405,0.020000000000000004
18,0.5448130109977722,0.75096,0.5036634650230408,0.7705,0.004000000000000001
19,0.5203189754295349,0.76228,0.49592529029846194,0.7754,0.004000000000000001
20,0.5148312177467346,0.76634,0.49453799362182616,0.7778,0.004000000000000001
21,0.5012511997890472,0.77136,0.48597094354629516,0.7815,0.004000000000000001
22,0.4944768475627899,0.7757,0.4665171290397644,0.7883,0.004000000000000001
23,0.4872243106651306,0.77872,0.46618058185577393,0.7903,0.004000000000000001
24,0.4710390641403198,0.78592,0.45380158710479734,0.795,0.0008000000000000003
25,0.4671681414604187,0.78812,0.4509423735618591,0.7971,0.0008000000000000003
26,0.46398083596229556,0.79008,0.44843030858039856,0.798,0.0008000000000000003
27,0.4630184760093689,0.79092,0.4455134827613831,0.7982,0.0008000000000000003
28,0.46062503697395324,0.79152,0.44534983496665953,0.7999,0.0008000000000000003
29,0.4587239927387238,0.7915,0.44577742953300475,0.7994,0.0008000000000000003
