epoch,train_loss,train_acc,val_loss,val_acc,lr
0,1.8846683264541626,0.20432,1.3667074882507324,0.3224,0.1
1,1.2934890903091432,0.3689,1.2045277307510376,0.4176,0.1
2,1.140337707901001,0.45228,1.156405394935608,0.458,0.1
3,1.0311119472122192,0.50904,1.0361319828033446,0.5124,0.1
4,0.9113619660949707,0.57428,0.9248795225143432,0.5719,0.1
5,0.8111992134666443,0.62696,0.782403125,0.6392,0.1
6,0.7416468537330627,0.65918,0.7257156874656677,0.6752,0.1
7,0.6761636446762085,0.69048,0.6410047717094421,0.7104,0.1
8,0.6186046294212342,0.7187,0.7908207891464233,0.6635,0.1
9,0.500507632265091,0.77626,0.4492665774345398,0.8004,0.020000000000000004
10,0.4630032389640808,0.79338,0.4418043962478638,0.808,0.020000000000000004
11,0.4398896473407745,0.80504,0.4332684675693512,0.8077,0.020000000000000004
12,0.42466278590202333,0.8129,0.40399397473335263,0.8231,0.020000000000000004
13,0.4102082868385315,0.81824,0.43183884930610655,0.8124,0.020000000000000004
14,0.4003167082118988,0.82412,0.4060353681564331,0.8171,0.020000000000000004
15,0.3818659707546234,0.83164,0.39178152289390566,0.827,0.020000000000000004
16,0.3744235907459259,0.83582,0.3861457410335541,0.832,0.020000000000000004
17,0.3611830572605133,0.84328,0.37129902081489563,0.837,0.020000000000000004
18,0.321910398235321,0.8619,0.32629585323333743,0.8595,0.004000000000000001
19,0.30813288660049437,0.86784,0.3153236812114716,0.8644,0.004000000000000001
20,0.3019708814239502,0.86872,0.31865278520584106,0.8637,0.004000000000000001
21,0.2978689978504181,0.87154,0.31035457320213317,0.866,0.004000000000000001
22,0.29594018748283385,0.87292,0.3125824472427368,0.8685,0.004000000000000001
23,0.29026804093360903,0.87626,0.3077487380504608,0.8692,0.004000000000000001
24,0.2813577072525024,0.8803,0.3008107319355011,0.8734,0.0008000000000000003
25,0.2775859551715851,0.88278,0.3010698779582977,0.8718,0.0008000000000000003
26,0.2762891525220871,0.88328,0.30053227677345273,0.8739,0.0008000000000000003
27,0.2775409445285797,0.88196,0.29949609570503233,0.874,0.0008000000000000003
28,0.2728617372131348,0.88532,0.29797212867736816,0.8739,0.0008000000000000003
29,0.2752069199562073,0.88302,0.2986998494148254,0.8736,0.0008000000000000003
