epoch,train_loss,train_acc,val_loss,val_acc,lr
0,2.0649061722564697,0.15724,1.5290696880340575,0.2343,0.1
1,1.481403815536499,0.25968,1.3501580410003662,0.337,0.1
2,1.3366239738845824,0.33788,1.2500416147232056,0.3757,0.1
3,1.2289580642318725,0.39846,1.1885434497833252,0.4338,0.1
4,1.1460130100250243,0.44446,1.0788883716583253,0.4852,0.1
5,1.0684574167251586,0.48554,1.0125277528762817,0.5116,0.1
6,0.9864800916099549,0.53148,0.9366725832939148,0.5556,0.1
7,0.8946241638565063,0.57988,0.8595052807807922,0.5923,0.1
8,0.8182861225509643,0.61736,0.8364115904808045,0.617,0.1
9,0.7118515514564514,0.67044,0.6492527749061584,0.7044,0.020000000000000004
10,0.6768183130264283,0.69002,0.6340269986152649,0.7112,0.020000000000000004
11,0.6513595069503784,0.7006,0.6010718304634094,0.7219,0.020000000000000004
12,0.6275492865943909,0.71236,0.5884517371177673,0.733,0.020000000000000004
13,0.6112590907859802,0.72056,0.5766722226142883,0.7376,0.020000000000000004
14,0.5937156618690491,0.72854,0.5592458478927612,0.7451,0.020000000000000004
15,0.5692154223060608,0.7415,0.5644572598457337,0.746,0.020000000000000004
16,0.5533696425247192,0.75028,0.5086969211578369,0.7683,0.020000000000000004
17,0.5291589061927795,0.7618,0.5053331188201904,0.7782,0.020000000000000004
18,0.4886794171333313,0.78274,0.4569180925369263,0.7987,0.004000000000000001
19,0.4778973547077179,0.788,0.4496310028553009,0.7998,0.004000000000000001
20,0.4699911130523682,0.79162,0.4431440936565399,0.8041,0.004000000000000001
21,0.4641641058826447,0.79396,0.4375907717227936,0.8059,0.004000000000000001
22,0.45852666661262514,0.79678,0.44052180314064027,0.8038,0.004000000000000001
23,0.45386601267814636,0.79814,0.433449063205719,0.8071,0.004000000000000001
24,0.44751972694396974,0.80124,0.4236937575817108,0.8135,0.0008000000000000003
25,0.43985322310447694,0.80604,0.42296539888381957,0.8145,0.0008000000000000003
26,0.43739391332626343,0.80728,0.4217368492126465,0.8138,0.0008000000000000003
27,0.4376396338653564,0.80642,0.4204113735675812,0.8138,0.0008000000000000003
28,0.43809371648788453,0.80728,0.41965886688232423,0.8145,0.0008000000000000003
29,0.4384782538318634,0.80714,0.4186455076217651,0.8153,0.0008000000000000003
