epoch,train_loss,train_acc,val_loss,val_acc,lr
0,2.6188213097000124,0.1115,1.738502194595337,0.1197,0.1
1,1.6021571531295777,0.19448,1.467096173095703,0.2685,0.1
2,1.466558883934021,0.26828,1.3932673089981078,0.3143,0.1
3,1.3817871085739135,0.32458,1.293732563972473,0.3826,0.1
4,1.286695286178589,0.37784,1.2511992866516113,0.4057,0.1
5,1.2331887517547608,0.40604,1.2220633543014527,0.4083,0.1
6,1.1886545999145508,0.4251,1.207468988800049,0.423,0.1
7,1.1508558193588256,0.44652,1.2369096736907959,0.433,0.1
8,1.1032370462799073,0.46966,1.086718954849243,0.4917,0.1
9,1.006323434562683,0.52156,0.939532460975647,0.5558,0.020000000000000004
10,0.9728340504455566,0.539,0.9212961577415466,0.5597,0.020000000000000004
11,0.946416005935669,0.5522,0.8961655055046082,0.5772,0.020000000000000004
12,0.9213323342895507,0.56396,0.8963875390052796,0.58,0.020000000000000004
13,0.8894201775932312,0.58068,0.8387703833580017,0.6034,0.020000000000000004
14,0.856050531539917,0.5954,0.9088925203323365,0.5791,0.020000000000000004
15,0.8325030177497864,0.61026,0.8011016444206238,0.6331,0.020000000000000004
16,0.804306095790863,0.6225,0.8133021813392639,0.6313,0.020000000000000004
17,0.7702198153305053,0.63878,0.7597620578765869,0.647,0.020000000000000004
18,0.7178981805801392,0.666,0.6690800459861755,0.69,0.004000000000000001
19,0.6985579256629944,0.67458,0.6698618364334107,0.6894,0.004000000000000001
20,0.6902430008506775,0.67862,0.6612028345108032,0.6972,0.004000000000000001
21,0.680434899559021,0.68218,0.6532296331405639,0.6974,0.004000000000000001
22,0.6712129170608521,0.6888,0.6391326904296875,0.709,0.004000000000000001
23,0.6680441326522827,0.69132,0.6387654450416564,0.7105,0.004000000000000001
24,0.6522953829956055,0.69866,0.6205323145866394,0.7193,0.0008000000000000003
25,0.6447045583343506,0.70244,0.6194143568992615,0.7201,0.0008000000000000003
26,0.6405975739860534,0.70548,0.6180874124526977,0.7188,0.0008000000000000003
27,0.6428764195442199,0.70436,0.6173399934768676,0.7208,0.0008000000000000003
28,0.6374093920326233,0.70562,0.6151218013763428,0.7215,0.0008000000000000003
29,0.6353875617790222,0.70818,0.6097045687675476,0.7241,0.0008000000000000003
