epoch,train_loss,train_acc,val_loss,val_acc,lr
0,1.92646790599823,0.18562,1.5002505298614501,0.2822,0.1
1,1.3376449424362182,0.34464,1.2004833074569703,0.4133,0.1
2,1.1725789207077026,0.4329,1.047827978515625,0.4906,0.1
3,1.0310463437080384,0.50722,1.053255466079712,0.4957,0.1
4,0.9327309185600281,0.56018,0.9513138690948486,0.5616,0.1
5,0.8394877210044861,0.60736,0.7321065169334412,0.6613,0.1
6,0.7510284352874755,0.65164,0.7920718169212342,0.6401,0.1
7,0.6771316777420044,0.68834,0.677288901424408,0.6926,0.1
8,0.6103660958480835,0.72018,0.64839462890625,0.7076,0.1
9,0.49339698740959165,0.77816,0.45406709766387937,0.8032,0.020000000000000004
10,0.4581156255531311,0.7958,0.45620907135009764,0.801,0.020000000000000004
11,0.43705880672454833,0.8056,0.4311219226360321,0.8096,0.020000000000000004
12,0.4230323539352417,0.81018,0.4098814151287079,0.82,0.020000000000000004
13,0.4074250488948822,0.8198,0.4167933570384979,0.8191,0.020000000000000004
14,0.3983811771392822,0.82134,0.45925468645095824,0.7934,0.020000000000000004
15,0.3866964709186554,0.82838,0.41008840079307557,0.818,0.020000000000000004
16,0.3701602222824097,0.8357,0.40267939324378965,0.8237,0.020000000000000004
17,0.3641500116729736,0.83894,0.36355966062545775,0.842,0.020000000000000004
18,0.3218932609081268,0.85946,0.32020078926086426,0.8613,0.004000000000000001
19,0.3068281112575531,0.86702,0.3210795693397522,0.8615,0.004000000000000001
20,0.3012007802963257,0.87082,0.3177315453529358,0.8602,0.004000000000000001
21,0.2980017191886902,0.87224,0.31333535776138305,0.8644,0.004000000000000001
22,0.2949642773914337,0.87316,0.3116422712802887,0.8656,0.004000000000000001
23,0.29001424907684326,0.87392,0.3078296765804291,0.8688,0.004000000000000001
24,0.28255679334640504,0.87846,0.30163015594482423,0.8711,0.0008000000000000003
25,0.27795354689598084,0.88068,0.2998854984283447,0.8705,0.0008000000000000003
26,0.27981065593719484,0.87872,0.30066464667320253,0.871,0.0008000000000000003
27,0.2793199695968628,0.88108,0.2995021155357361,0.8716,0.0008000000000000003
28,0.27602707902908324,0.88194,0.2992822632789612,0.871,0.0008000000000000003
29,0.2737377893829346,0.881,0.29748377552032473,0.8725,0.0008000000000000003
